ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,SCHOOL NO.,SCHOOL NO.,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,OPENING HOURS,開放時間,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,EMAIL ADDRESS,電郵地址,WEBSITE,網頁,RELIGION,宗教,
Kindergartens,幼稚園,CANNAN KINDERGARTEN (KOWLOON TONG)(P.M.),迦南幼稚園(九龍塘)(下午),PORTION OF G/F & 1/F 9 & 11 CUMBERLAND ROAD KOWLOON TONG KOWLOON,九龍九龍塘金巴倫道9及11號地下部分及1樓,114-10-35,114-10-35,22-19-41,22-19-41,836220.8,836220.8,821001.5,821001.5,531910000112,531910000112,CO-ED,男女,P.M.,下午,KOWLOON CITY,九龍城區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,23383262,23383262,23362973,23362973,,,http://www.cannan.edu.hk,http://www.cannan.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,ANNUNCIATION CATHOLIC KINDERGARTEN (A.M.),天主教領報幼稚園(上午),"11 ON YIN STREET, CHAI WAN KOK TSUEN WAN NEW TERRITORIES",新界荃灣柴灣角安賢街十一號,114-6-20,114-6-20,22-22-37,22-22-37,828923.5,828923.5,826432.6,826432.6,159220000111,159220000111,CO-ED,男女,A.M.,上午,TSUEN WAN,荃灣區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24907893,24907893,24907956,24907956,,,http://www.ack.edu.hk,http://www.ack.edu.hk,CATHOLICISM,天主教,
Kindergartens,幼稚園,SEMPLE KINDERGARTEN(P.M.),深培中英文幼稚園(下午),10 WILLOW STREET TAI KOK TSUI KOWLOON,九龍大角咀柳樹街10號,114-9-49,114-9-49,22-19-29,22-19-29,834914.4,834914.4,820623,820623,216070000112,216070000112,CO-ED,男女,P.M.,下午,YAU TSIM MONG,油尖旺區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,,,,,,,http://www.semplekg.edu.hk,http://www.semplekg.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,PEACE EVANGELICAL CTR KG (TIN SHUI WAI) (WHOLE DAY),平安福音堂幼稚園(天水圍)(全日),"G/F, ANCILLARY FACILITIES BLOCK TIN CHING ESTATE TIN SHUI WAI NEW TERRITORIES",新界天水圍天晴邨綜合大樓地下,114-0-9,114-0-9,22-27-45,22-27-45,818324.8,818324.8,835893.4,835893.4,575666000113,575666000113,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,24469277,24469277,23284933,23284933,,,http://www.peck.edu.hk,http://www.peck.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,MIGHTY OAKS INTERNATIONAL KINDERGARTEN(P.M.),奧恩國際幼稚園(下午),"1ST FLOOR AND FLAT ROOF ON 1ST FLOOR, LUNGGA MANSION, 46A BELCHER'S STREET, KENNEDY TOWN, HONG KONG",香港堅尼地城卑路乍街46A號隆基大廈1樓及1樓平台,114-7-46,114-7-46,22-16-58,22-16-58,831374.4,831374.4,815974.4,815974.4,603643000112,603643000112,CO-ED,男女,P.M.,下午,CENTRAL AND WESTERN,中西區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,,,,,,,,,,,
Kindergartens,幼稚園,SHEUNG SHUI PUI YAU KINDERGARTEN (A.M.),上水培幼幼稚園(上午),SHEK TSAI LENG KU TUNG VILLAGE SHEUNG SHUI NEW TERRITORIES,新界上水古洞村石仔嶺,114-6-4,114-6-4,22-30-25,22-30-25,828475.9,828475.9,840816.3,840816.3,153117000111,153117000111,CO-ED,男女,A.M.,上午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26703393,26703393,26708004,26708004,,,http://www.puiyau.edu.hk,http://www.puiyau.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,KOWLOON CITY BAPTIST CHURCH KINDERGARTEN(WHOLE DAY),九龍城浸信會幼稚園(全日),2-3/F 206 ARGYLE STREET KOWLOON,九龍亞皆老街206號三及四樓,114-11-9,114-11-9,22-19-29,22-19-29,837186.5,837186.5,820627,820627,324078000113,324078000113,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,27131875,27131875,26245449,26245449,,,,,PROTESTANTISM / CHRISTIANITY,基督教,
Kindergartens,幼稚園,HONG KONG KINDERGARTEN ASSN PRE-SCHOOL (A.M.),香港幼稚園協會幼兒學校(上午),"G/F, CHI SIU HOUSE CHOI WAN ESTATE KOWLOON",九龍彩雲邨紫霄樓地下,114-12-49,114-12-49,22-19-59,22-19-59,840047.5,840047.5,821570.4,821570.4,550035000111,550035000111,CO-ED,男女,A.M.,上午,WONG TAI SIN,黃大仙區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,27582008,27582008,27580078,27580078,,,http://www.hkkaps.edu.hk,http://www.hkkaps.edu.hk,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,KINGSTON INTERNATIONAL KINDERGARTEN (A.M.),京斯敦國際幼稚園(上午),G/F & 1/F 12 CUMBERLAND ROAD KOWLOON TONG KOWLOON,九龍九龍塘金巴倫道12號地下及1樓,114-10-39,114-10-39,22-19-52,22-19-52,836332,836332,821353,821353,519863000311,519863000311,CO-ED,男女,A.M.,上午,KOWLOON CITY,九龍城區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,23379049,23379049,23377382,23377382,,,,,NOT APPLICABLE,不適用,
Kindergartens,幼稚園,TAI PING KINDERGARTEN (A.M.),太平幼稚園(上午),G/F PING YEE HOUSE TAI PING ESTATE SHEUNG SHUI NEW TERRITORIES,新界上水太平邨平易樓地下,114-7-34,114-7-34,22-29-50,22-29-50,831051,831051,839727.6,839727.6,158593000111,158593000111,CO-ED,男女,A.M.,上午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26733199,26733199,26734561,26734561,,,,,TAOISM,道教,
Kindergartens,幼稚園,HHCKLA BUDDHIST WAI KWONG KA FUK KINDERGARTEN (P.M.),香海正覺蓮社佛教慧光嘉福幼稚園(下午),SHOP KG01 G/F KA YEUNG HOUSE KA SHING COURT FANLING NEW TERRITORIES,新界粉嶺嘉盛苑嘉揚閣地下KG01號舖,114-8-3,114-8-3,22-29-35,22-29-35,831885.2,831885.2,839266.5,839266.5,587141000112,587141000112,CO-ED,男女,P.M.,下午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26832227,26832227,26832023,26832023,,,,,BUDDHISM,佛教,
Kindergartens,幼稚園,BILOK ANGLO-CHINESE KINDERGARTEN (P.M.),比諾中英文幼稚園(下午),G/F BLK 4&5 TSUI LAI GARDEN NO 9 FUNG NAM ROAD SHEUNG SHUI NT,新界上水鳳南路9號翠麗花園第4至5座地下,114-7-42,114-7-42,22-30-29,22-30-29,831266.2,831266.2,840945.6,840945.6,231088000212,231088000212,CO-ED,男女,P.M.,下午,NORTH,北區,PRIVATE,私立,KINDERGARTEN,幼稚園,,,26728681,26728681,26728691,26728691,,,http://www.bilok-holford.edu.hk,http://www.bilok-holford.edu.hk,NOT APPLICABLE,不適用,
